ANO_PESQUISA,ID_ALUNO,NOME,FASE,TURMA,PONTO_VIRADA,INDE,PEDRA,IAA,IEG,IPS,IDA,IPP,IPV,IAN,INDE_MEDIO_ANO_FASE,IAA_MEDIO_ANO_FASE,IEG_MEDIO_ANO_FASE,IPS_MEDIO_ANO_FASE,IDA_MEDIO_ANO_FASE,IPP_MEDIO_ANO_FASE,IPV_MEDIO_ANO_FASE,IAN_MEDIO_ANO_FASE,INDE_MEDIO_ANO_FASE_TURMA,IAA_MEDIO_ANO_FASE_TURMA,IEG_MEDIO_ANO_FASE_TURMA,IPS_MEDIO_ANO_FASE_TURMA,IDA_MEDIO_ANO_FASE_TURMA,IPP_MEDIO_ANO_FASE_TURMA,IPV_MEDIO_ANO_FASE_TURMA,IAN_MEDIO_ANO_FASE_TURMA
2020,1,ALUNO-1,2,H,Não,7.88,Ametista,8.5,8.7,7.5,7.0,5.94,7.75,10.0,7.11,8.26,7.92,6.73,5.13,7.37,7.67,7.34,6.75,8.65,7.72,6.15,3.98,6.04,8.1,7.08
2020,3,ALUNO-3,3,H,Não,7.86,Ametista,7.92,8.9,7.5,5.5,8.12,8.11,10.0,7.34,8.55,7.41,6.6,6.4,7.91,7.47,7.81,6.23,8.66,5.57,5.97,5.09,7.13,6.02,7.22
2020,4,ALUNO-4,1,D,Não,5.08,Quartzo,8.0,4.1,6.88,0.0,7.19,7.75,5.0,7.42,8.72,7.83,6.89,7.07,7.13,7.68,6.34,7.45,8.66,8.01,6.79,7.55,6.79,7.76,5.67
2020,5,ALUNO-5,2,M,Não,8.08,Ametista,7.5,8.0,7.5,7.5,8.44,8.17,10.0,7.11,8.26,7.92,6.73,5.13,7.37,7.67,7.34,6.75,7.93,7.35,6.47,4.18,7.45,7.65,7.35
2020,8,ALUNO-8,4,L,Sim,8.38,Ametista,8.33,9.9,4.38,7.33,8.75,8.94,10.0,7.08,8.63,6.93,7.08,5.02,8.25,7.73,7.45,6.71,8.45,6.29,6.43,4.36,8.17,7.29,8.21
2020,10,ALUNO-10,3,B,Não,5.16,Quartzo,5.83,5.2,3.75,0.0,7.97,6.83,10.0,7.34,8.55,7.41,6.6,6.4,7.91,7.47,7.81,7.6,8.44,8.41,6.64,5.92,7.78,7.42,9.69
2020,11,ALUNO-11,0,A,Sim,9.71,Topázio,9.0,10.0,8.12,10.0,10.0,10.0,10.0,8.02,8.91,9.88,6.81,8.97,5.69,6.8,7.5,7.97,8.68,9.85,6.72,9.19,4.69,6.69,8.12
2020,12,ALUNO-12,3,G,Não,5.84,Quartzo,6.25,6.0,5.62,6.67,5.62,5.28,5.0,7.34,8.55,7.41,6.6,6.4,7.91,7.47,7.81,7.15,8.39,7.66,5.18,6.31,7.35,7.39,7.86
2020,14,ALUNO-14,2,M,Não,6.43,Ágata,8.0,7.6,6.88,0.0,8.44,7.92,10.0,7.11,8.26,7.92,6.73,5.13,7.37,7.67,7.34,6.75,7.93,7.35,6.47,4.18,7.45,7.65,7.35
2020,15,ALUNO-15,2,D,Não,5.16,Quartzo,8.5,4.0,7.5,0.0,8.12,7.25,5.0,7.11,8.26,7.92,6.73,5.13,7.37,7.67,7.34,7.45,8.84,7.8,7.38,6.44,7.71,7.6,6.88
2020,17,ALUNO-17,1,G,Não,7.77,Ametista,9.5,6.8,7.5,10.0,6.56,7.75,5.0,7.42,8.72,7.83,6.89,7.07,7.13,7.68,6.34,7.26,8.55,7.38,6.54,7.81,6.19,7.36,6.18
2020,18,ALUNO-18,3,E,Não,7.21,Ágata,9.58,7.0,7.5,6.5,7.08,7.94,5.0,7.34,8.55,7.41,6.6,6.4,7.91,7.47,7.81,7.11,8.59,6.54,6.41,6.44,7.73,7.16,8.12
2020,28,ALUNO-28,3,J,Sim,9.35,Topázio,9.58,9.6,6.88,9.0,10.0,9.94,10.0,7.34,8.55,7.41,6.6,6.4,7.91,7.47,7.81,7.59,8.6,8.34,6.82,7.12,8.44,8.19,4.77
